teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Corey Kispert|24|F|27|6' 6"|224|Gonzaga|13975000
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Christian Koloko|35|C|25|6' 11"|225|Arizona|--
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Jonathan Kuminga|0|F|23|6' 7"|225|--|22500000
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Jock Landale|31|C|30|6' 11"|255|Saint Mary's|2296274
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|CJ McCollum|3|G|34|6' 3"|190|Lehigh|30666666
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Asa Newell|14|F|20|6' 10"|220|Georgia|3237480
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Onyeka Okongwu|17|F|25|6' 10"|240|USC|15000000
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Zaccharie Risacher|10|F|21|6' 8"|200|--|13197720
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Gabe Vincent|4|G|29|6' 2"|200|UC Santa Barbara|11500000
ATL|atlanta-hawks|Atlanta Hawks|Quin Snyder|Keaton Wallace|2|G|27|6' 3"|185|UTSA|2296274
